id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo,Sexo
159,ECUATORIANA,,,,,,,,,HOMBRE
160,ECUATORIANA,,,,,,,,35,HOMBRE
161,ECUATORIANA,,,,,,,,26,HOMBRE
162,ECUATORIANA,,,,,,,,71,HOMBRE
163,ECUATORIANA,,,,,,,,27,HOMBRE
164,ECUATORIANA,,,,,,,,38,HOMBRE
165,ECUATORIANA,,,,,,,,40,HOMBRE
166,ECUATORIANA,,,,,,,,38,HOMBRE
167,ECUATORIANA,,,,,,,,36,HOMBRE
168,ECUATORIANA,,,,,,,,28,HOMBRE
169,ECUATORIANA,,,,,,,,57,HOMBRE
170,ECUATORIANA,,,,,,,,19,HOMBRE
171,ECUATORIANA,,,,,,,,36,HOMBRE
172,ECUATORIANA,,,,,,,,45,HOMBRE
173,ECUATORIANA,,,,,,,,46,HOMBRE
174,ECUATORIANA,,,,,,,,23,HOMBRE
175,ECUATORIANA,,,,,,,,29,HOMBRE
176,ECUATORIANA,,,,,,,,24,HOMBRE
177,ECUATORIANA,,,,,,,,42,HOMBRE
178,,,,,,,,,,HOMBRE
179,ECUATORIANA,,,,,,,,30,HOMBRE
180,ECUATORIANA,,,,,,,,28,HOMBRE
181,ECUATORIANA,,,,,,,,45,HOMBRE
182,ECUATORIANA,,,,,,,,19,HOMBRE
183,ECUATORIANA,,,,,,,,33,HOMBRE
184,ECUATORIANA,,,,,,,,,HOMBRE
185,ECUATORIANA,,,,,,,,43,HOMBRE
186,ECUATORIANA,,,,,,,,45,HOMBRE
187,ECUATORIANA,,,,,,,,18,HOMBRE
188,ECUATORIANA,,,,,,,,22,HOMBRE
189,ECUATORIANA,,,,,,,,41,HOMBRE
190,ECUATORIANA,,,,,,,,22,HOMBRE
191,ECUATORIANA,,,,,,,,41,HOMBRE
192,ECUATORIANA,,,,,,,,34,HOMBRE
193,ECUATORIANA,,,,,,,,28,HOMBRE
194,COLOMBIANA,,,,,,,,,HOMBRE
195,ECUATORIANA,,,,,,,,,HOMBRE
196,ECUATORIANA,,,,,,,,,HOMBRE
197,ECUATORIANA,,,,,,,,28,HOMBRE
198,ECUATORIANA,,,,,,,,39,HOMBRE
199,ECUATORIANA,,,,,,,,51,HOMBRE
200,ECUATORIANA,,,,,,,,39,HOMBRE
201,ECUATORIANA,,,,,,,,39,HOMBRE
202,ECUATORIANA,,,,,,,,25,HOMBRE
203,ECUATORIANA,,,,,,,,22,HOMBRE
204,ECUATORIANA,,,,,,,,23,HOMBRE
205,ECUATORIANA,,,,,,,,39,HOMBRE
206,ECUATORIANA,,,,,,,,48,HOMBRE
207,ECUATORIANA,,,,,,,,23,HOMBRE
208,ECUATORIANA,,,,,,,,65,HOMBRE
209,ECUATORIANA,,,,,,,,28,HOMBRE
