id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo
241,ECUADOR,,,,,,,30,HOMBRE
242,ECUADOR,,,,,,,23,HOMBRE
243,ECUADOR,,,,,,,26,HOMBRE
244,ECUADOR,,,,,,,41,HOMBRE
245,ECUADOR,,,,,,,36,HOMBRE
246,ECUADOR,,,,,,,64,HOMBRE
247,ECUADOR,,,,,,,47,HOMBRE
248,ECUADOR,,,,,,,27,HOMBRE
249,ECUADOR,,,,,,,24,MUJER
250,ECUADOR,,,,,,,40,HOMBRE
251,ECUADOR,,,,,,,25,HOMBRE
252,ECUADOR,,,,,,,34,HOMBRE
253,ECUADOR,,,,,,,38,HOMBRE
254,ECUADOR,,,,,,,27,HOMBRE
255,ECUADOR,,,,,,,27,HOMBRE
256,ECUADOR,,,,,,,22,HOMBRE
257,ECUADOR,,,,,,,26,HOMBRE
258,ECUADOR,,,,,,,34,HOMBRE
259,ECUADOR,,,,,,,22,HOMBRE
260,ECUADOR,,,,,,,52,HOMBRE
261,ECUADOR,,,,,,,41,HOMBRE
262,ECUADOR,,,,,,,45,HOMBRE
263,ECUADOR,,,,,,,22,HOMBRE
264,ECUADOR,,,,,,,26,HOMBRE
265,ECUADOR,,,,,,,22,HOMBRE
266,ECUADOR,,,,,,,34,HOMBRE
267,ECUADOR,,,,,,,50,HOMBRE
268,ECUADOR,,,,,,,21,HOMBRE
269,ECUADOR,,,,,,,36,HOMBRE
270,ECUADOR,,,,,,,34,HOMBRE
271,ECUADOR,,,,,,,19,HOMBRE
272,ECUADOR,,,,,,,27,HOMBRE
273,ECUADOR,,,,,,,57,HOMBRE
274,ECUADOR,,,,,,,24,HOMBRE
275,ECUADOR,,,,,,,29,HOMBRE
276,ECUADOR,,,,,,,24,HOMBRE
277,ECUADOR,,,,,,,44,MUJER
278,ECUADOR,,,,,,,26,MUJER
279,ECUADOR,,,,,,,23,HOMBRE
280,ECUADOR,,,,,,,23,HOMBRE
281,ECUADOR,,,,,,,36,HOMBRE
282,ECUADOR,,,,,,,47,HOMBRE
283,ECUADOR,,,,,,,53,MUJER
284,ECUADOR,,,,,,,38,HOMBRE
285,ECUADOR,,,,,,,29,HOMBRE
286,ECUADOR,,,,,,,33,HOMBRE
287,ECUADOR,,,,,,,37,HOMBRE
288,ECUADOR,,,,,,,28,HOMBRE
289,ECUADOR,,,,,,,24,HOMBRE
290,ECUADOR,,,,,,,34,HOMBRE
291,ECUADOR,,,,,,,31,HOMBRE
292,COLOMBIA,,,,,,,,HOMBRE
293,ECUADOR,,,,,,,38,HOMBRE
294,ECUADOR,,,,,,,17,HOMBRE
295,ECUADOR,,,,,,,33,HOMBRE
296,ECUADOR,,,,,,,41,MUJER
297,ECUADOR,,,,,,,20,HOMBRE
298,ECUADOR,,,,,,,40,HOMBRE
299,COLOMBIA,,,,,,,,MUJER
300,ECUADOR,,,,,,,70,HOMBRE
301,ECUADOR,,,,,,,32,HOMBRE
302,ECUADOR,,,,,,,34,HOMBRE
303,ECUADOR,,,,,,,20,MUJER
304,ECUADOR,,,,,,,22,HOMBRE
305,ECUADOR,,,,,,,34,HOMBRE
306,ECUADOR,,,,,,,22,HOMBRE
307,ECUADOR,,,,,,,19,HOMBRE
308,ECUADOR,,,,,,,23,HOMBRE
309,ECUADOR,,,,,,,47,HOMBRE
310,ECUADOR,,,,,,,22,HOMBRE
311,ECUADOR,,,,,,,44,HOMBRE
312,ECUADOR,,,,,,,20,HOMBRE
313,ECUADOR,,,,,,,22,HOMBRE
314,ECUADOR,,,,,,,40,HOMBRE
315,,,,,,,,,HOMBRE
316,ECUADOR,,,,,,,36,HOMBRE
317,ECUADOR,,,,,,,30,HOMBRE
318,ECUADOR,,,,,,,64,HOMBRE
319,ECUADOR,,,,,,,34,HOMBRE
320,ECUADOR,,,,,,,23,HOMBRE
321,ECUADOR,,,,,,,29,HOMBRE
322,ECUADOR,,,,,,,26,HOMBRE
323,ECUADOR,,,,,,,35,HOMBRE
324,ECUADOR,,,,,,,30,HOMBRE
325,ECUADOR,,,,,,,28,HOMBRE
326,ECUADOR,,,,,,,37,HOMBRE
327,ECUADOR,,,,,,,31,HOMBRE
328,ECUADOR,,,,,,,22,MUJER
329,ECUADOR,,,,,,,32,HOMBRE
330,ECUADOR,,,,,,,34,HOMBRE
331,ECUADOR,,,,,,,35,HOMBRE
332,ECUADOR,,,,,,,28,HOMBRE
333,ECUADOR,,,,,,,32,HOMBRE
334,ECUADOR,,,,,,,37,HOMBRE
335,ECUADOR,,,,,,,40,MUJER
336,ECUADOR,,,,,,,16,HOMBRE
337,ECUADOR,,,,,,,20,HOMBRE
338,ECUADOR,,,,,,,27,HOMBRE
339,ECUADOR,,,,,,,27,HOMBRE
340,ECUADOR,,,,,,,32,HOMBRE
341,ECUADOR,,,,,,,43,HOMBRE
342,ECUADOR,,,,,,,34,HOMBRE
343,ECUADOR,,,,,,,65,HOMBRE
344,ECUADOR,,,,,,,32,HOMBRE
345,ECUADOR,,,,,,,56,HOMBRE
346,ECUADOR,,,,,,,38,HOMBRE
347,ECUADOR,,,,,,,37,HOMBRE
348,ECUADOR,,,,,,,25,HOMBRE
349,ECUADOR,,,,,,,19,HOMBRE
350,ECUADOR,,,,,,,29,MUJER
351,ECUADOR,,,,,,,71,HOMBRE
352,ECUADOR,,,,,,,28,HOMBRE
